iter	Passed	Remaining
774	4168	1210
775	4174	1204
776	4179	1199
777	4185	1194
778	4190	1188
779	4195	1183
780	4200	1177
781	4206	1172
782	4211	1167
783	4216	1161
784	4221	1156
785	4226	1150
786	4232	1145
787	4237	1140
788	4242	1134
789	4248	1129
790	4253	1123
791	4259	1118
792	4264	1113
793	4270	1107
794	4275	1102
795	4280	1097
796	4286	1091
797	4291	1086
798	4296	1080
799	4301	1075
800	4307	1070
801	4312	1064
802	4317	1059
803	4323	1053
804	4328	1048
805	4333	1043
806	4338	1037
807	4343	1032
808	4349	1026
809	4354	1021
810	4359	1015
811	4364	1010
812	4370	1005
813	4375	999
814	4380	994
815	4386	989
816	4391	983
817	4397	978
818	4402	973
819	4408	967
820	4413	962
821	4419	956
822	4424	951
823	4429	946
824	4435	940
825	4440	935
826	4446	930
827	4451	924
828	4456	919
829	4462	913
830	4467	908
831	4473	903
832	4478	897
833	4483	892
834	4489	887
835	4495	881
836	4500	876
837	4506	871
838	4511	865
839	4517	860
840	4522	855
841	4528	849
842	4533	844
843	4539	839
844	4545	833
845	4550	828
846	4555	822
847	4561	817
848	4566	812
849	4572	806
850	4577	801
851	4583	796
852	4589	790
853	4594	785
854	4599	780
855	4605	774
856	4610	769
857	4616	763
858	4621	758
859	4626	753
860	4632	747
861	4638	742
862	4643	737
863	4649	731
864	4654	726
865	4660	721
866	4665	715
867	4671	710
868	4676	705
869	4682	699
870	4687	694
871	4693	688
872	4698	683
873	4703	678
874	4709	672
875	4714	667
876	4719	661
877	4724	656
878	4730	651
879	4735	645
880	4741	640
881	4747	635
882	4752	629
883	4758	624
884	4763	619
885	4769	613
886	4774	608
887	4780	602
888	4785	597
889	4794	592
890	4805	587
891	4810	582
892	4815	577
893	4821	571
894	4827	566
895	4832	560
896	4838	555
897	4843	550
898	4849	544
899	4854	539
900	4859	534
901	4865	528
902	4870	523
903	4876	517
904	4881	512
905	4886	507
906	4892	501
907	4897	496
908	4903	490
909	4908	485
910	4913	480
911	4919	474
912	4924	469
913	4930	463
914	4935	458
915	4940	453
916	4946	447
917	4951	442
918	4957	436
919	4963	431
920	4968	426
921	4973	420
922	4979	415
923	4985	410
924	4990	404
925	4996	399
926	5001	393
927	5007	388
928	5012	383
929	5017	377
930	5023	372
931	5028	366
932	5034	361
933	5039	356
934	5045	350
935	5051	345
936	5057	340
937	5063	334
938	5068	329
939	5073	323
940	5079	318
941	5084	313
942	5089	307
943	5094	302
944	5099	296
945	5105	291
946	5110	286
947	5116	280
948	5121	275
949	5126	269
950	5132	264
951	5137	259
952	5142	253
953	5148	248
954	5155	242
955	5160	237
956	5165	232
957	5171	226
958	5176	221
959	5181	215
960	5187	210
961	5192	205
962	5197	199
963	5203	194
964	5208	188
965	5213	183
966	5218	178
967	5223	172
968	5229	167
969	5234	161
970	5240	156
971	5245	151
972	5250	145
973	5256	140
974	5262	134
975	5268	129
976	5273	124
977	5279	118
978	5284	113
979	5289	107
980	5295	102
981	5301	97
982	5307	91
983	5311	86
984	5316	80
985	5322	75
986	5327	70
987	5332	64
988	5338	59
989	5343	53
990	5349	48
991	5354	43
992	5360	37
993	5365	32
994	5370	26
995	5376	21
996	5382	16
997	5387	10
998	5392	5
999	5398	0
